Player_ID,Player_Name,Career_Start,Career_End,Matches_Played,Team_ID
ejgmorgan,EJG Morgan ,2009,2018,189,england
jeroot,JE Root ,2013,2018,121,england
jcbuttler,JC Buttler ,2012,2018,122,england
dawarner,DA Warner ,2009,2018,106,australia
spdsmith,SPD Smith ,2010,2018,108,australia
abdevilliers,AB de Villiers ,2005,2018,223,southafrica
hmamla,HM Amla ,2008,2018,169,southafrica
jpduminy,JP Duminy ,2004,2018,192,southafrica
fduplessis,F du Plessis ,2011,2018,124,southafrica
damiller,DA Miller ,2010,2018,112,southafrica
dwsteyn,DW Steyn ,2006,2018,119,southafrica
mmorkel,M Morkel ,2007,2018,114,southafrica
chgayle,CH Gayle ,1999,2018,281,westindies
mnsamuels,MN Samuels ,2000,2018,207,westindies
vkohli,V Kohli ,2008,2018,216,india
msdhoni,MS Dhoni ,2004,2018,329,india
rgsharma,RG Sharma ,2007,2018,193,india
skraina,SK Raina ,2005,2018,226,india
sdhawan,S Dhawan ,2010,2018,115,india
rajadeja,RA Jadeja ,2009,2018,144,india
shoaibmalik,Shoaib Malik ,1999,2018,274,pakistan
mohammadhafeez,Mohammad Hafeez ,2003,2018,203,pakistan
wutharanga,WU Tharanga ,2005,2018,231,srilanka
admathews,AD Mathews ,2008,2018,203,srilanka
brmtaylor,BRM Taylor ,2004,2018,188,zimbabwe
hmasakadza,H Masakadza ,2001,2018,204,zimbabwe
echigumbura,E Chigumbura ,2004,2018,210,zimbabwe
scwilliams,SC Williams ,2005,2018,122,zimbabwe
cjchibhabha,CJ Chibhabha ,2005,2018,103,zimbabwe
tamimiqbal,Tamim Iqbal ,2007,2018,186,bangladesh
shakibalhasan,Shakib Al Hasan ,2006,2018,195,bangladesh
mushfiqurrahim,Mushfiqur Rahim ,2006,2018,198,bangladesh
mahmudullah,Mahmudullah ,2007,2018,168,bangladesh
mashrafemortaza,Mashrafe Mortaza ,2001,2018,200,bangladesh
wtsporterfield,WTS Porterfield ,2006,2018,122,ireland
prstirling,PR Stirling ,2008,2018,100,ireland
kjo'brien,KJ O'Brien ,2006,2018,128,ireland
njo'brien,NJ O'Brien ,2006,2018,103,ireland
mohammadnabi,Mohammad Nabi ,2009,2018,106,afghanistan
