Innings_Bowled_In,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wickets_In_An_Innings,Five_Wickets_In_An_Innings,Player_ID
60,1342,1299,20,64.95,5.8,67.1,0,0,jeroot
0,0,0,0,0.0,0.0,0.0,0,0,jcbuttler
0,0,0,0,0.0,0.0,0.0,0,0,ejgmorgan
36,1046,931,27,34.48,5.34,38.7,0,0,spdsmith
1,6,8,0,0.0,8.0,0.0,0,0,dawarner
118,60138,4893,190,25.75,4.88,31.6,4,3,dwsteyn
111,5580,4595,180,25.52,4.94,31.0,7,2,mmorkel
129,34158,3045,67,45.44,5.34,51.0,1,0,jpduminy
8,180,180,7,25.71,6.0,25.7,0,0,abdevilliers
11,192,189,2,94.5,5.9,96.0,0,0,fduplessis
0,0,0,0,0.0,0.0,0.0,0,0,hmamla
0,0,0,0,0.0,0.0,0.0,0,0,damiller
192,7275,5773,165,34.98,4.76,44.0,3,1,chgayle
134,5091,4127,89,46.37,4.86,57.2,0,0,mnsamuels
1,24,30,1,30.0,7.5,24.0,0,0,scwilliams
140,7255,5905,169,34.94,4.88,42.9,7,1,rajadeja
101,2126,1811,36,50.3,5.11,59.0,0,0,skraina
38,593,515,8,64.37,5.21,74.1,0,0,rgsharma
48,641,665,4,166.25,6.22,160.2,0,0,vkohli
2,36,31,1,31.0,5.16,36.0,0,0,msdhoni
0,0,0,0,0.0,0.0,0.0,0,0,sdhawan
211,7868,6102,156,39.11,4.65,50.4,1,0,shoaibmalik
165,7409,5073,137,37.02,4.1,54.0,1,0,mohammadhafeez
154,50706,3901,114,34.21,4.61,44.4,1,1,admathews
0,0,0,0,0.0,0.0,0.0,0,0,wutharanga
129,41646,4057,95,42.7,5.84,43.8,1,0,echigumbura
84,18252,1622,39,41.58,5.32,46.8,0,0,hmasakadza
58,1665,1615,35,46.14,5.81,47.6,1,0,cjchibhabha
21,396,406,9,45.11,6.15,44.0,0,0,brmtaylor
200,10005,7985,257,31.07,4.78,38.9,7,1,mashrafemortaza
192,9897,7333,247,29.68,4.44,40.0,8,1,shakibalhasan
129,40044,3421,75,45.61,5.12,53.4,0,0,mahmudullah
2,6,13,0,0.0,13.0,0.0,0,0,tamimiqbal
0,0,0,0,0.0,0.0,0.0,0,0,mushfiqurrahim
107,40878,3575,112,31.91,5.24,36.5,5,0,kjo'brien
68,23064,1841,40,46.02,4.78,57.7,1,1,prstirling
0,0,0,0,0.0,0.0,0.0,0,0,njo'brien
0,0,0,0,0.0,0.0,0.0,0,0,wtsporterfield
103,5058,3585,114,31.44,4.25,44.3,2,0,mohammadnabi
