Innings_Fielded,Fielding_Dismissals_Made,Catches_Taken,Stumpings_Made,Dismissals_Per_Innings,Player_ID
119,178,153,25,1.495,jcbuttler
185,67,67,0,0.36200000000000004,ejgmorgan
118,56,56,0,0.474,jeroot
108,62,62,0,0.574,spdsmith
106,49,49,0,0.462,dawarner
218,176,171,5,0.807,abdevilliers
165,83,83,0,0.503,hmamla
188,77,77,0,0.409,jpduminy
123,65,65,0,0.528,fduplessis
110,54,54,0,0.49,damiller
111,29,29,0,0.261,mmorkel
118,28,28,0,0.237,dwsteyn
276,119,119,0,0.431,chgayle
207,50,50,0,0.24100000000000002,mnsamuels
57,18,18,0,0.315,scwilliams
324,419,307,112,1.2930000000000001,msdhoni
214,103,103,0,0.48100000000000004,vkohli
223,102,102,0,0.457,skraina
192,69,69,0,0.359,rgsharma
113,55,55,0,0.486,sdhawan
143,51,51,0,0.35600000000000004,rajadeja
272,94,94,0,0.345,shoaibmalik
201,78,78,0,0.38799999999999996,mohammadhafeez
199,50,50,0,0.251,admathews
224,49,49,0,0.218,wutharanga
188,147,118,29,0.7809999999999999,brmtaylor
209,72,72,0,0.344,echigumbura
204,71,71,0,0.348,hmasakadza
102,33,33,0,0.32299999999999995,cjchibhabha
197,206,164,42,1.045,mushfiqurrahim
200,57,57,0,0.285,mashrafemortaza
167,56,56,0,0.335,mahmudullah
185,46,46,0,0.248,tamimiqbal
194,45,45,0,0.231,shakibalhasan
99,104,90,14,1.05,njo'brien
117,57,57,0,0.48700000000000004,wtsporterfield
124,55,55,0,0.44299999999999995,kjo'brien
96,39,39,0,0.406,prstirling
104,50,50,0,0.48,mohammadnabi
