Avg_Runs_Per_Wicket_Bowling,Avg_Runs_Per_Six_Balls_Bowling,Number_Of_Team_Innings_Bowling,Highest_Team_Score_Bowling,Lowest_Completed_Score_Bowling,Team_ID
30.27,4.78,714,398,45,england
27.0,4.65,912,481,45,australia
26.9,4.73,592,434,43,southafrica
29.26,4.64,780,439,43,westindies
29.85,4.77,741,408,69,newzealand
30.62,4.93,940,438,58,india
28.75,4.72,890,444,64,pakistan
30.87,4.91,822,414,35,srilanka
35.6,5.05,515,418,58,zimbabwe
33.75,5.05,354,391,44,bangladesh
29.76,4.94,134,411,91,ireland
26.1,4.64,104,417,54,afghanistan
