Tweet_ID,Name,Hashtag_ID
1103059460359114757,cricket,1103059460359114757cricket
1101877840285519872,cricket,1101877840285519872cricket
1101892603346411522,cricket,1101892603346411522cricket
1101891888976744448,cricket,1101891888976744448cricket
1101889606943944705,cricket,1101889606943944705cricket
1103418366679793664,Bernie2020,1103418366679793664Bernie2020
1103413384530354177,KarenRebels,1103413384530354177KarenRebels
1103237987515666432,GordonHayward,1103237987515666432GordonHayward
1101059662315773953,Partners,1101059662315773953Partners
1103413413227577344,TeamIndia,1103413413227577344TeamIndia
1102969313261056000,SK_Raina,1102969313261056000SK_Raina
1103400278529761280,Entertainment,1103400278529761280Entertainment
1102943767710130176,INDvAUS,1102943767710130176INDvAUS
1103284722837450752,SalmanButt,1103284722837450752SalmanButt
1103344757911285766,Vols,1103344757911285766Vols
1101690577584832512,oneridge,1101690577584832512oneridge
1100268952851226626,TS7,1100268952851226626TS7
1103407667161194496,thestate,1103407667161194496thestate
1103406211297394688,thestate,1103406211297394688thestate
1103282048729378816,mushivstamim,1103282048729378816mushivstamim
1103261897338441730,WATCH,1103261897338441730WATCH
1102900531494862849,cricket,1102900531494862849cricket
1102900351760510979,cricket,1102900351760510979cricket
1102900275470393348,cricket,1102900275470393348cricket
1102905252418867202,cricket,1102905252418867202cricket
1102904931609137152,cricket,1102904931609137152cricket
1102904790554722304,cricket,1102904790554722304cricket
1103418372975403009,MUFC,1103418372975403009MUFC
1103418308609654784,GGMU,1103418308609654784GGMU
1103418254217879558,Riverdale,1103418254217879558Riverdale
1103418372488867844,NJMSPM,1103418372488867844NJMSPM
1103418368261087232,income,1103418368261087232income
